adctl,Mobile,QML,
attica,API,,
avahi-qt,Bindings,Communication,
baloo,Development,,
bluez-qt,Communication,,
breeze-icons,Artwork,,
ctk,Graphics,Widgets,Data
cutelyst,Web,,
cutereport,Printing,,
cutetest,Development,,
diff-match-patch,Text,,
echonest,Multimedia,API,
enginio-qt,Data,API,QML
exaro,Printing,,
extra-cmake-modules,Development,,
ff7tk,Data,,
frameworkintegration,Desktop,,
gcf,Development,,
glc-lib,Graphics,,
injeqt,Development,,
jreen,Communication,,
kactivities,Desktop,,
kactivities-stats,Desktop,,
karchive,Data,,
kauth,Security,API,
kbookmarks,Web,,
kcmutils,Desktop,,
kcodecs,Text,,
kcompletion,Text,Widgets,
kconfig,Development,,
kconfigwidgets,Development,Widgets,
kcoreaddons,Text,Data,
kcrash,Development,,
kdbusaddons,Desktop,,
kdchart,Graphics,,
kdeclarative,Desktop,QML,
kded,Desktop,,
kdelibs,Desktop,,
kdelibs4support,Development,,
kdepimlibs,Data,Communication,
kdesignerplugin,Development,,
kdesu,Security,Desktop,
kdewebkit,Web,,
kdnssd,Bindings,Communication,
kdoctools,Development,Text,
kdreports,Printing,,
kdsoap,API,Development,
kdtools,Widgets,Desktop,
kemoticons,Artwork,,
kf5umbrella,Development,,
kfileaudiopreview,Multimedia,,
kfilemetadata,Data,,
kglobalaccel,Desktop,,
kguiaddons,Widgets,,
khtml,Web,,
ki18n,Development,Text,
kiconthemes,Artwork,,
kidletime,Desktop,,
kimageformats,Graphics,Data,
kinit,Desktop,,
kio,Communication,Data,
kitemmodels,Development,,
kitemviews,Widgets,Development,
kjobwidgets,Widgets,,
kjs,Web,Scripting,
kjsembed,Web,Scripting,
klfbackend,Graphics,Data,
kmediaplayer,Multimedia,,
knewstuff,Data,Communication,
knotifications,Desktop,,
knotifyconfig,Desktop,,
kode,Development,Data,
kpackage,Development,,
kparts,Widgets,,
kpeople,Communication,Data,
kplotting,Graphics,,
kprintutils,Printing,,
kpty,Communication,,
kqoauth,Security,API,
kross,Scripting,,
krunner,Desktop,,
kservice,Development,,
ktexteditor,Text,Widgets,
ktextwidgets,Text,Widgets,
kunitconversion,Data,,
kwallet,Security,,
kwayland,Desktop,,
kwidgetsaddons,Widgets,,
kwindowsystem,Desktop,,
kxmlgui,Widgets,,
kxmlrpcclient,Communication,,
libcommuni,Communication,,
libengsas,Widgets,,
libkexiv2,Graphics,Bindings,
liblastfm,API,Multimedia,
libmm-qt,Communication,Bindings,
libnm-qt,Communication,Bindings,
libqinfinity,Communication,,
libqtlua,Scripting,,
libqxt,Development,Widgets,
libsystemd-qt,Bindings,,
libtmdbqt,API,Data,
log4qt,Development,Logging,
log4qt-fork,Development,Logging,
lxqt_wallet,Security,,
marble,Widgets,,
mimetypes-qt4,Development,,
modemmanager-qt,Communication,Bindings,
ncreport,Printing,Data,
neiasound,Multimedia,Bindings,
networkmanager-qt,Communication,Bindings,
noron,Development,,
novile,Development,Text,
nut,Data,,
o2,Security,Bindings,
osgqtquick,Graphics,QML,
oxygen-icons5,Artwork,,
packagekit-qt,Bindings,,
phonon,Multimedia,,
plasma-framework,Desktop,,
polkit-qt-1,Bindings,,
poppler-qt,Bindings,,
pythonqt,Bindings,,
q7goodies,Widgets,,
qanmenubar,QML,,
qaudiocoder,Multimedia,,
qca,Security,,
qcustomplot,Graphics,,
qdatacube,Data,Widgets,
qdbf,Data,,
qdecimal,Data,,
qdjango,Web,,
qextserialport,Communication,,
qfb,API,,
qicstable,Widgets,Data,
qimageblitz,Graphics,,
qjson,Data,,
qjsonrpc,Data,Communication,
qlogsystem,Development,Logging,
qoauth,Security,API,
qscintilla,Text,,
qserialdevice,Communication,,
qserialport,Communication,,
qsint,Widgets,,
qslog,Logging,Development,
qsqlmigrator,Data,,
qt-certificate-Addons,Security,,
qt-gstreamer,Bindings,Multimedia,
qtargparser,Development,,
qtav,Multimedia,,
qtdropbox,API,,
qtermwidget,Widgets,,
qtffmpegwrapper,Multimedia,,
qtftp,Communication,,
qtgamepad,Communication,,
qtgooglespeech,API,,
qthttp,Web,,
qtilities,Logging,Widgets,
qtinstallerframework,Development,,
qtioccontainer,Development,,
qtitanchart,Graphics,,
qtitanribbon,Desktop,,
qtinstaller,Development,,
qtkeychain,Security,,
qtmodeling,Development,,
qtoolbox,Data,Logging,,
qtoptimization,Development,,
qtorm,Web,Data,,
qtrest,Communication,API,
qtrpt,Printing,,
qtspeech,Bindings,Multimedia,
qtuio,Mobile,,
qtuiotouch,Mobile,,
qtvkontakte,Mobile,,
qtwebapp,Web,,
qtwebkit,Web,,
qtwebsockets,Communication,,
qtweetlib,Communication,,
qtxlsx,Data,,
quazip,Data,,
quickcross,QML,,
quickflux,Communication,,
quickpromise,QML,,
quickproperties,QML,,
quickqanava,Graphics,QML,
qwt,Widgets,Graphics,,
qwtplot3d,Graphics,,
qxmpp,Communication,,
qxorm,Data,,
qyoto,Bindings,,
snorenotify,Communication,,
solid,Development,,
sonnet,Text,,
soprano,Data,,
soqt,Graphics,Bindings,
sqlate,Data,,
tasks,Development,,
telepathy-qt,Bindings,Communication,
threadweaver,Development,,
treefrog,Web,,
tufao,Web,,
vlc-qt,Bindings,Multimedia,
